name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
chriiiish/comp333a3,74,73,42,18,204,2,1.6568627450980393,1.2156862745098038,30,5.366666666666666,2.3666666666666667,1.0784313725490196,1.0490196078431373,1.5,1.3
dschluter/RScripts,479,479,479,0,30,1,15.533333333333333,15.533333333333333,0,0.0,0.0,1.0,1.0,NaN,NaN
mulllhausen/btc-inquisitor,607,589,559,6,61,3,13.262295081967213,12.59016393442623,8,63.25,58.125,1.0819672131147542,1.0819672131147542,1.375,1.375
Weednas/Project-Minecrafteo,86,83,83,0,359,2,1.6323119777158774,1.6323119777158774,0,0.0,0.0,1.0027855153203342,1.0027855153203342,NaN,NaN
BHicks93/mainsite,152,2,2,0,1,1,2.0,2.0,0,0.0,0.0,1.0,1.0,NaN,NaN
adampoczatek/dfs-concept1,9,2,2,0,164,2,1.0060975609756098,1.0060975609756098,0,0.0,0.0,1.0,1.0,NaN,NaN
yang0508/packages_services_Telephony,1035,957,359,390,604,138,4.970198675496689,3.1788079470198674,164,13.628048780487806,7.030487804878049,2.447019867549669,1.8774834437086092,5.896341463414634,3.798780487804878
ChaseSpringer/MethodsLab3,11,8,7,1,3,2,3.0,2.6666666666666665,1,7.0,6.0,1.3333333333333333,1.0,2.0,1.0
apertus-open-source-cinema/alpha-hardware,45,45,45,0,86,3,1.8604651162790697,1.8604651162790697,0,0.0,0.0,1.1627906976744187,1.1627906976744187,NaN,NaN
badger-d/2014-06-02-monash,1093,1093,275,248,1463,66,2.8605604921394394,1.439507860560492,908,3.6233480176211454,1.3337004405286343,1.3991797676008202,1.0389610389610389,1.6079295154185023,1.027533039647577
MatthewKBabbs/Simplified-Wordpress,5,5,5,0,1101,2,1.9028156221616712,1.9028156221616712,0,0.0,0.0,1.4968210717529518,1.4968210717529518,NaN,NaN
SamHwang1990/app_crm_re,101,100,89,1,194,1,4.103092783505154,3.7938144329896906,20,14.6,11.6,1.0,1.0,1.0,1.0
adomokos/dotfiles,173,170,166,1,60,1,3.566666666666667,3.4833333333333334,2,26.5,24.0,1.0,1.0,1.0,1.0
The-Sickness/G920T-MM,241,241,241,0,48495,88,1.0402103309619548,1.0402103309619548,0,0.0,0.0,1.036972883802454,1.036972883802454,NaN,NaN
diotteo/motqueser,121,121,120,1,19,2,13.473684210526315,13.421052631578947,1,4.0,3.0,1.0526315789473684,1.0,2.0,1.0
taddevries/revelBlog,19,19,15,2,127,1,1.8267716535433072,1.8267716535433072,0,0.0,0.0,1.0,1.0,NaN,NaN
SMAICP/vendor_saber,127,91,71,7,27,7,6.851851851851852,6.111111111111111,9,14.11111111111111,11.88888888888889,1.8148148148148149,1.7037037037037037,3.111111111111111,2.7777777777777777
wp-plugins/tidio-live-chat,367,367,367,0,21,2,20.761904761904763,20.761904761904763,0,0.0,0.0,1.0,1.0,NaN,NaN
venid/liteng,77,77,76,1,134,1,3.8134328358208953,3.791044776119403,3,7.666666666666667,6.666666666666667,1.0,1.0,1.0,1.0
Asfanur/AboutCanada,14,14,14,0,31,1,2.2580645161290325,2.2580645161290325,0,0.0,0.0,1.0,1.0,NaN,NaN
progers/forkstats,35,35,35,0,24,2,5.041666666666667,5.041666666666667,0,0.0,0.0,1.0,1.0,NaN,NaN
