name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
openstack/trove,28065,3942,2164,1717,1416,628,6.404661016949152,2.0204802259887007,904,9.41703539823009,2.549778761061947,4.507768361581921,1.786723163841808,6.460176991150442,2.1980088495575223
openstack/kingbird,1065,239,179,60,178,37,4.398876404494382,2.955056179775281,86,7.244186046511628,4.255813953488372,2.134831460674157,1.6797752808988764,3.0813953488372094,2.13953488372093
openstack/puppet-pacemaker,736,300,207,82,351,58,3.5356125356125356,2.339031339031339,82,11.268292682926829,6.146341463414634,2.1196581196581197,1.5527065527065527,5.585365853658536,3.158536585365854
openstack/storlets,2604,628,409,201,266,53,6.131578947368421,3.0488721804511276,174,8.511494252873563,3.7988505747126435,2.906015037593985,2.0037593984962405,3.7241379310344827,2.3448275862068964
openstack/networking-bagpipe,2164,965,422,187,243,46,8.958847736625515,3.074074074074074,131,15.297709923664122,4.3816793893129775,1.6954732510288066,1.374485596707819,2.1526717557251906,1.5572519083969465
openstack/qinling,598,272,197,75,216,27,4.407407407407407,3.6481481481481484,84,8.404761904761905,6.4523809523809526,1.4444444444444444,1.2638888888888888,1.9166666666666667,1.4523809523809523
openstack/networking-calico,826,236,183,53,94,42,5.351063829787234,4.24468085106383,37,10.35135135135135,7.54054054054054,2.2127659574468086,1.946808510638298,3.4594594594594597,2.7837837837837838
openstack/nova-powervm,3161,1022,683,339,152,60,15.414473684210526,8.56578947368421,112,20.482142857142858,11.1875,4.3355263157894735,3.1842105263157894,5.464285714285714,3.9017857142857144
openstack/monasca-ui,1032,472,352,117,128,72,7.765625,5.3203125,59,14.35593220338983,9.05084745762712,3.765625,2.7890625,6.4576271186440675,4.338983050847458
openstack/neutron-specs,4211,655,381,274,261,290,2.21455938697318,1.4022988505747127,116,3.5172413793103448,1.6896551724137931,1.8773946360153257,1.2950191570881227,2.793103448275862,1.4827586206896552
openstack/puppet-glare,217,82,67,15,77,24,2.4285714285714284,2.2467532467532467,12,4.666666666666667,3.5,1.8831168831168832,1.7662337662337662,3.0833333333333335,2.3333333333333335
openstack/cloudkitty-tempest-plugin,15,6,6,0,30,5,1.1333333333333333,1.1333333333333333,0,0.0,0.0,1.1333333333333333,1.1333333333333333,NaN,NaN
openstack/puppet-panko,217,134,105,29,91,30,2.8351648351648353,2.318681318681319,28,6.285714285714286,4.607142857142857,1.967032967032967,1.7582417582417582,3.607142857142857,2.9285714285714284
openstack/vitrage-tempest-plugin,311,260,183,77,109,25,5.89908256880734,2.7981651376146788,62,9.0,3.5483870967741935,2.889908256880734,1.81651376146789,3.8548387096774195,1.967741935483871
openstack/karbor,4356,1266,746,520,552,113,4.418478260869565,1.789855072463768,332,6.530120481927711,2.1596385542168677,2.539855072463768,1.4293478260869565,3.4759036144578315,1.6295180722891567
openstack/charm-glance,1204,1053,268,176,345,51,10.921739130434782,3.0434782608695654,225,15.933333333333334,3.8533333333333335,4.159420289855072,2.139130434782609,5.622222222222222,2.5244444444444443
openstack/karbor-dashboard,407,176,122,54,125,32,3.208,1.848,73,4.315068493150685,1.9863013698630136,1.712,1.304,2.0821917808219177,1.3835616438356164
openstack/devstack-plugin-kafka,21,6,6,0,7,8,2.142857142857143,2.142857142857143,0,0.0,0.0,1.8571428571428572,1.8571428571428572,NaN,NaN
openstack/openstack-ansible-ceph_client,376,176,153,23,65,40,4.538461538461538,3.707692307692308,23,8.478260869565217,6.130434782608695,3.1076923076923078,2.6307692307692307,5.478260869565218,4.130434782608695
openstack/congress-tempest-plugin,188,142,109,33,74,29,4.635135135135135,3.864864864864865,18,13.5,10.333333333333334,2.7972972972972974,2.4054054054054053,6.833333333333333,5.222222222222222
openstack/patrole,2793,881,508,373,254,73,5.984251968503937,2.4330708661417324,144,9.729166666666666,3.4652777777777777,2.688976377952756,1.6574803149606299,3.9444444444444446,2.125
openstack/python-glanceclient,4189,1252,781,465,128,352,14.1796875,5.1640625,87,20.264367816091955,7.0,9.2265625,3.46875,12.988505747126437,4.517241379310345
openstack/glare,1325,531,341,190,186,47,5.709677419354839,3.21505376344086,98,9.561224489795919,4.826530612244898,2.650537634408602,2.0161290322580645,3.9183673469387754,2.7142857142857144
openstack/charm-vault,65,37,32,5,23,5,3.608695652173913,3.217391304347826,6,5.666666666666667,4.166666666666667,1.434782608695652,1.434782608695652,1.3333333333333333,1.3333333333333333
openstack/cookbook-openstack-image,861,434,276,105,36,60,23.416666666666668,15.277777777777779,21,38.476190476190474,24.523809523809526,9.944444444444445,8.222222222222221,15.904761904761905,12.952380952380953
openstack/openstack-ansible,22072,5258,2898,2299,1178,281,5.235993208828523,1.7385398981324278,425,12.694117647058823,3.0,2.793718166383701,1.4100169779286926,5.948235294117647,2.112941176470588
openstack/gerrit-dash-creator,708,455,299,155,99,102,5.181818181818182,3.404040404040404,74,6.202702702702703,3.824324324324324,3.3737373737373737,2.4242424242424243,3.945945945945946,2.675675675675676
